line,poem,text,tokens
2.0,2.0,your big white belly,"['START_SYMBOL', u'your', u'big', u'white', u'belly', 'STOP_SYMBOL']"
3.0,2.0,and those hairy feet.,"['START_SYMBOL', u'and', u'those', u'hairy', u'feet', u'.', 'STOP_SYMBOL']"
4.0,2.0,you never cut your nails,"['START_SYMBOL', u'you', u'never', u'cut', u'your', u'nails', 'STOP_SYMBOL']"
5.0,2.0,and you have fat hands,"['START_SYMBOL', u'and', u'you', u'have', u'fat', u'hands', 'STOP_SYMBOL']"
6.0,2.0,paws like a cat,"['START_SYMBOL', u'paws', u'like', u'a', u'cat', 'STOP_SYMBOL']"
7.0,2.0,your bright red nose,"['START_SYMBOL', u'your', u'bright', u'red', u'nose', 'STOP_SYMBOL']"
8.0,2.0,and the biggest balls,"['START_SYMBOL', u'and', u'the', u'biggest', u'balls', 'STOP_SYMBOL']"
9.0,2.0,I've ever seen.,"['START_SYMBOL', u'i', u""'ve"", u'ever', u'seen', u'.', 'STOP_SYMBOL']"
10.0,2.0,you shoot sperm like a,"['START_SYMBOL', u'you', u'shoot', u'sperm', u'like', u'a', 'STOP_SYMBOL']"
11.0,2.0,whale shoots water out of the,"['START_SYMBOL', u'whale', u'shoots', u'water', u'out', u'of', u'the', 'STOP_SYMBOL']"
12.0,2.0,hole in its back.,"['START_SYMBOL', u'hole', u'in', u'its', u'back', u'.', 'STOP_SYMBOL']"
13.0,2.0,"beast beast beast,","['START_SYMBOL', u'beast', u'beast', u'beast', u',', 'STOP_SYMBOL']"
14.0,2.0,"she kissed me,","['START_SYMBOL', u'she', u'kissed', u'me', u',', 'STOP_SYMBOL']"
15.0,2.0,what do you want for,"['START_SYMBOL', u'what', u'do', u'you', u'want', u'for', 'STOP_SYMBOL']"
16.0,2.0,breakfast?,"['START_SYMBOL', u'breakfast', u'?', 'STOP_SYMBOL']"
1.0,3.0,I'm big,"['START_SYMBOL', u'i', u""'m"", u'big', 'STOP_SYMBOL']"
2.0,3.0,I suppose that's why my women always seem,"['START_SYMBOL', u'i', u'suppose', u'that', u""'s"", u'why', u'my', u'women', u'always', u'seem', 'STOP_SYMBOL']"
3.0,3.0,small,"['START_SYMBOL', u'small', 'STOP_SYMBOL']"
4.0,3.0,but this 6 foot goddess,"['START_SYMBOL', u'but', u'this', u'6', u'foot', u'goddess', 'STOP_SYMBOL']"
5.0,3.0,who deals in real estate,"['START_SYMBOL', u'who', u'deals', u'in', u'real', u'estate', 'STOP_SYMBOL']"
6.0,3.0,and art,"['START_SYMBOL', u'and', u'art', 'STOP_SYMBOL']"
7.0,3.0,and flies from Texas,"['START_SYMBOL', u'and', u'flies', u'from', u'texas', 'STOP_SYMBOL']"
8.0,3.0,to see me,"['START_SYMBOL', u'to', u'see', u'me', 'STOP_SYMBOL']"
9.0,3.0,and I fly to Texas,"['START_SYMBOL', u'and', u'i', u'fly', u'to', u'texas', 'STOP_SYMBOL']"
10.0,3.0,to see her---,"['START_SYMBOL', u'to', u'see', u'her', u'--', u'-', 'STOP_SYMBOL']"
11.0,3.0,"well, there's plenty of her to","['START_SYMBOL', u'well', u',', u'there', u""'s"", u'plenty', u'of', u'her', u'to', 'STOP_SYMBOL']"
12.0,3.0,grab hold of,"['START_SYMBOL', u'grab', u'hold', u'of', 'STOP_SYMBOL']"
13.0,3.0,and I grab hold of it,"['START_SYMBOL', u'and', u'i', u'grab', u'hold', u'of', u'it', 'STOP_SYMBOL']"
14.0,3.0,"of her,","['START_SYMBOL', u'of', u'her', u',', 'STOP_SYMBOL']"
15.0,3.0,"I yank her head back by the hair,","['START_SYMBOL', u'i', u'yank', u'her', u'head', u'back', u'by', u'the', u'hair', u',', 'STOP_SYMBOL']"
16.0,3.0,"I'm real macho,","['START_SYMBOL', u'i', u""'m"", u'real', u'macho', u',', 'STOP_SYMBOL']"
17.0,3.0,I suck on her upper lip,"['START_SYMBOL', u'i', u'suck', u'on', u'her', u'upper', u'lip', 'STOP_SYMBOL']"
18.0,3.0,her cunt,"['START_SYMBOL', u'her', u'cunt', 'STOP_SYMBOL']"
19.0,3.0,her soul,"['START_SYMBOL', u'her', u'soul', 'STOP_SYMBOL']"
20.0,3.0,"I mount her and tell her,","['START_SYMBOL', u'i', u'mount', u'her', u'and', u'tell', u'her', u',', 'STOP_SYMBOL']"
21.0,3.0,"""I'm going to shoot white hot","['START_SYMBOL', u'``', u'i', u""'m"", u'going', u'to', u'shoot', u'white', u'hot', 'STOP_SYMBOL']"
22.0,3.0,juice into you. I didn't fly all the,"['START_SYMBOL', u'juice', u'into', u'you', u'.', u'i', u'did', u""n't"", u'fly', u'all', u'the', 'STOP_SYMBOL']"
23.0,3.0,way to Galveston to play,"['START_SYMBOL', u'way', u'to', u'galveston', u'to', u'play', 'STOP_SYMBOL']"
24.0,3.0,"chess.""","['START_SYMBOL', u'chess', u'.', u""''"", 'STOP_SYMBOL']"
25.0,3.0,later we lay locked like human vines,"['START_SYMBOL', u'later', u'we', u'lay', u'locked', u'like', u'human', u'vines', 'STOP_SYMBOL']"
26.0,3.0,my left arm under her pillow,"['START_SYMBOL', u'my', u'left', u'arm', u'under', u'her', u'pillow', 'STOP_SYMBOL']"
27.0,3.0,my right arm over her side,"['START_SYMBOL', u'my', u'right', u'arm', u'over', u'her', u'side', 'STOP_SYMBOL']"
28.0,3.0,"I grip both of her hands,","['START_SYMBOL', u'i', u'grip', u'both', u'of', u'her', u'hands', u',', 'STOP_SYMBOL']"
29.0,3.0,and my chest,"['START_SYMBOL', u'and', u'my', u'chest', 'STOP_SYMBOL']"
30.0,3.0,belly,"['START_SYMBOL', u'belly', 'STOP_SYMBOL']"
31.0,3.0,balls,"['START_SYMBOL', u'balls', 'STOP_SYMBOL']"
32.0,3.0,cock,"['START_SYMBOL', u'cock', 'STOP_SYMBOL']"
33.0,3.0,tangle into her,"['START_SYMBOL', u'tangle', u'into', u'her', 'STOP_SYMBOL']"
34.0,3.0,and through us,"['START_SYMBOL', u'and', u'through', u'us', 'STOP_SYMBOL']"
35.0,3.0,in the dark,"['START_SYMBOL', u'in', u'the', u'dark', 'STOP_SYMBOL']"
36.0,3.0,pass rays,"['START_SYMBOL', u'pass', u'rays', 'STOP_SYMBOL']"
37.0,3.0,back and forth,"['START_SYMBOL', u'back', u'and', u'forth', 'STOP_SYMBOL']"
38.0,3.0,back and forth,"['START_SYMBOL', u'back', u'and', u'forth', 'STOP_SYMBOL']"
39.0,3.0,until I fall away,"['START_SYMBOL', u'until', u'i', u'fall', u'away', 'STOP_SYMBOL']"
40.0,3.0,and we sleep.,"['START_SYMBOL', u'and', u'we', u'sleep', u'.', 'STOP_SYMBOL']"
41.0,3.0,she's wild,"['START_SYMBOL', u'she', u""'s"", u'wild', 'STOP_SYMBOL']"
42.0,3.0,but kind,"['START_SYMBOL', u'but', u'kind', 'STOP_SYMBOL']"
43.0,3.0,my 6 foot goddess,"['START_SYMBOL', u'my', u'6', u'foot', u'goddess', 'STOP_SYMBOL']"
44.0,3.0,makes me laugh,"['START_SYMBOL', u'makes', u'me', u'laugh', 'STOP_SYMBOL']"
45.0,3.0,the laughter of the mutilated,"['START_SYMBOL', u'the', u'laughter', u'of', u'the', u'mutilated', 'STOP_SYMBOL']"
46.0,3.0,who still need,"['START_SYMBOL', u'who', u'still', u'need', 'STOP_SYMBOL']"
47.0,3.0,"love,","['START_SYMBOL', u'love', u',', 'STOP_SYMBOL']"
48.0,3.0,and her blessed eyes,"['START_SYMBOL', u'and', u'her', u'blessed', u'eyes', 'STOP_SYMBOL']"
49.0,3.0,run deep into her head,"['START_SYMBOL', u'run', u'deep', u'into', u'her', u'head', 'STOP_SYMBOL']"
50.0,3.0,like mountain springs,"['START_SYMBOL', u'like', u'mountain', u'springs', 'STOP_SYMBOL']"
51.0,3.0,far in,"['START_SYMBOL', u'far', u'in', 'STOP_SYMBOL']"
52.0,3.0,and,"['START_SYMBOL', u'and', 'STOP_SYMBOL']"
53.0,3.0,cool and good.,"['START_SYMBOL', u'cool', u'and', u'good', u'.', 'STOP_SYMBOL']"
54.0,3.0,she has saved me,"['START_SYMBOL', u'she', u'has', u'saved', u'me', 'STOP_SYMBOL']"
55.0,3.0,from everything that is,"['START_SYMBOL', u'from', u'everything', u'that', u'is', 'STOP_SYMBOL']"
56.0,3.0,not here.,"['START_SYMBOL', u'not', u'here', u'.', 'STOP_SYMBOL']"
1.0,4.0,you sit on the couch,"['START_SYMBOL', u'you', u'sit', u'on', u'the', u'couch', 'STOP_SYMBOL']"
2.0,4.0,with me,"['START_SYMBOL', u'with', u'me', 'STOP_SYMBOL']"
3.0,4.0,tonight,"['START_SYMBOL', u'tonight', 'STOP_SYMBOL']"
4.0,4.0,new woman.,"['START_SYMBOL', u'new', u'woman', u'.', 'STOP_SYMBOL']"
5.0,4.0,have you seen the,"['START_SYMBOL', u'have', u'you', u'seen', u'the', 'STOP_SYMBOL']"
6.0,4.0,animal-eater,"['START_SYMBOL', u'animal-eater', 'STOP_SYMBOL']"
7.0,4.0,documentaries?,"['START_SYMBOL', u'documentaries', u'?', 'STOP_SYMBOL']"
8.0,4.0,they show death.,"['START_SYMBOL', u'they', u'show', u'death', u'.', 'STOP_SYMBOL']"
9.0,4.0,and now I wonder,"['START_SYMBOL', u'and', u'now', u'i', u'wonder', 'STOP_SYMBOL']"
10.0,4.0,which animal of,"['START_SYMBOL', u'which', u'animal', u'of', 'STOP_SYMBOL']"
11.0,4.0,us will eat the,"['START_SYMBOL', u'us', u'will', u'eat', u'the', 'STOP_SYMBOL']"
12.0,4.0,other first,"['START_SYMBOL', u'other', u'first', 'STOP_SYMBOL']"
13.0,4.0,physically and,"['START_SYMBOL', u'physically', u'and', 'STOP_SYMBOL']"
14.0,4.0,last,"['START_SYMBOL', u'last', 'STOP_SYMBOL']"
15.0,4.0,spiritually?,"['START_SYMBOL', u'spiritually', u'?', 'STOP_SYMBOL']"
16.0,4.0,we consume animals,"['START_SYMBOL', u'we', u'consume', u'animals', 'STOP_SYMBOL']"
17.0,4.0,and then one of us,"['START_SYMBOL', u'and', u'then', u'one', u'of', u'us', 'STOP_SYMBOL']"
18.0,4.0,"consumes the other,","['START_SYMBOL', u'consumes', u'the', u'other', u',', 'STOP_SYMBOL']"
19.0,4.0,my love.,"['START_SYMBOL', u'my', u'love', u'.', 'STOP_SYMBOL']"
20.0,4.0,meanwhile,"['START_SYMBOL', u'meanwhile', 'STOP_SYMBOL']"
21.0,4.0,I'd prefer you go,"['START_SYMBOL', u'i', u""'d"", u'prefer', u'you', u'go', 'STOP_SYMBOL']"
22.0,4.0,first the first way,"['START_SYMBOL', u'first', u'the', u'first', u'way', 'STOP_SYMBOL']"
23.0,4.0,since if past performance,"['START_SYMBOL', u'since', u'if', u'past', u'performance', 'STOP_SYMBOL']"
24.0,4.0,charts mean anything,"['START_SYMBOL', u'charts', u'mean', u'anything', 'STOP_SYMBOL']"
25.0,4.0,I'll surely go,"['START_SYMBOL', u'i', u""'ll"", u'surely', u'go', 'STOP_SYMBOL']"
26.0,4.0,first the last,"['START_SYMBOL', u'first', u'the', u'last', 'STOP_SYMBOL']"
27.0,4.0,way.,"['START_SYMBOL', u'way', u'.', 'STOP_SYMBOL']"
1.0,5.0,"""you know,"" she said, ""you were at","['START_SYMBOL', u'``', u'you', u'know', u',', u""''"", u'she', u'said', u',', u'``', u'you', u'were', u'at', 'STOP_SYMBOL']"
2.0,5.0,the bar so you didn't see,"['START_SYMBOL', u'the', u'bar', u'so', u'you', u'did', u""n't"", u'see', 'STOP_SYMBOL']"
3.0,5.0,but I danced with this guy.,"['START_SYMBOL', u'but', u'i', u'danced', u'with', u'this', u'guy', u'.', 'STOP_SYMBOL']"
4.0,5.0,we danced and we danced,"['START_SYMBOL', u'we', u'danced', u'and', u'we', u'danced', 'STOP_SYMBOL']"
5.0,5.0,close.,"['START_SYMBOL', u'close', u'.', 'STOP_SYMBOL']"
6.0,5.0,but I didn't go home with him,"['START_SYMBOL', u'but', u'i', u'did', u""n't"", u'go', u'home', u'with', u'him', 'STOP_SYMBOL']"
7.0,5.0,because he knew I was with,"['START_SYMBOL', u'because', u'he', u'knew', u'i', u'was', u'with', 'STOP_SYMBOL']"
8.0,5.0,"you.""","['START_SYMBOL', u'you', u'.', u""''"", 'STOP_SYMBOL']"
9.0,5.0,"""thanks a bunch,"" I","['START_SYMBOL', u'``', u'thanks', u'a', u'bunch', u',', u""''"", u'i', 'STOP_SYMBOL']"
10.0,5.0,said.,"['START_SYMBOL', u'said', u'.', 'STOP_SYMBOL']"
11.0,5.0,she was always thinking of sex.,"['START_SYMBOL', u'she', u'was', u'always', u'thinking', u'of', u'sex', u'.', 'STOP_SYMBOL']"
12.0,5.0,she carried it around with her,"['START_SYMBOL', u'she', u'carried', u'it', u'around', u'with', u'her', 'STOP_SYMBOL']"
13.0,5.0,like something in a paper,"['START_SYMBOL', u'like', u'something', u'in', u'a', u'paper', 'STOP_SYMBOL']"
14.0,5.0,bag.,"['START_SYMBOL', u'bag', u'.', 'STOP_SYMBOL']"
15.0,5.0,such energy.,"['START_SYMBOL', u'such', u'energy', u'.', 'STOP_SYMBOL']"
16.0,5.0,she never forgot.,"['START_SYMBOL', u'she', u'never', u'forgot', u'.', 'STOP_SYMBOL']"
17.0,5.0,she stared at every man available,"['START_SYMBOL', u'she', u'stared', u'at', u'every', u'man', u'available', 'STOP_SYMBOL']"
18.0,5.0,in morning cafes,"['START_SYMBOL', u'in', u'morning', u'cafes', 'STOP_SYMBOL']"
19.0,5.0,over bacon and eggs,"['START_SYMBOL', u'over', u'bacon', u'and', u'eggs', 'STOP_SYMBOL']"
20.0,5.0,or later,"['START_SYMBOL', u'or', u'later', 'STOP_SYMBOL']"
21.0,5.0,over a noon sandwich or,"['START_SYMBOL', u'over', u'a', u'noon', u'sandwich', u'or', 'STOP_SYMBOL']"
22.0,5.0,a steak dinner.,"['START_SYMBOL', u'a', u'steak', u'dinner', u'.', 'STOP_SYMBOL']"
23.0,5.0,"""I've modeled myself after","['START_SYMBOL', u'``', u'i', u""'ve"", u'modeled', u'myself', u'after', 'STOP_SYMBOL']"
24.0,5.0,"Marilyn Monroe,"" she told","['START_SYMBOL', u'marilyn', u'monroe', u',', u""''"", u'she', u'told', 'STOP_SYMBOL']"
25.0,5.0,me.,"['START_SYMBOL', u'me', u'.', 'STOP_SYMBOL']"
26.0,5.0,"""she's always running off","['START_SYMBOL', u'``', u'she', u""'s"", u'always', u'running', u'off', 'STOP_SYMBOL']"
27.0,5.0,to some local disco to dance,"['START_SYMBOL', u'to', u'some', u'local', u'disco', u'to', u'dance', 'STOP_SYMBOL']"
28.0,5.0,"with a baboon,"" a friend once told","['START_SYMBOL', u'with', u'a', u'baboon', u',', u""''"", u'a', u'friend', u'once', u'told', 'STOP_SYMBOL']"
29.0,5.0,"me, ""I'm amazed that you've","['START_SYMBOL', u'me', u',', u'``', u'i', u""'m"", u'amazed', u'that', u'you', u""'ve"", 'STOP_SYMBOL']"
30.0,5.0,"stood for it as long as you have.""","['START_SYMBOL', u'stood', u'for', u'it', u'as', u'long', u'as', u'you', u'have', u'.', u""''"", 'STOP_SYMBOL']"
31.0,5.0,she'd vanish at racetracks,"['START_SYMBOL', u'she', u""'d"", u'vanish', u'at', u'racetracks', 'STOP_SYMBOL']"
32.0,5.0,"then come back and say,","['START_SYMBOL', u'then', u'come', u'back', u'and', u'say', u',', 'STOP_SYMBOL']"
33.0,5.0,"""three men offered to buy me","['START_SYMBOL', u'``', u'three', u'men', u'offered', u'to', u'buy', u'me', 'STOP_SYMBOL']"
34.0,5.0,"a drink.""","['START_SYMBOL', u'a', u'drink', u'.', u""''"", 'STOP_SYMBOL']"
35.0,5.0,or I'd lose her in the parking,"['START_SYMBOL', u'or', u'i', u""'d"", u'lose', u'her', u'in', u'the', u'parking', 'STOP_SYMBOL']"
36.0,5.0,lot and I'd look up and she'd,"['START_SYMBOL', u'lot', u'and', u'i', u""'d"", u'look', u'up', u'and', u'she', u""'d"", 'STOP_SYMBOL']"
37.0,5.0,be walking along with a strange man.,"['START_SYMBOL', u'be', u'walking', u'along', u'with', u'a', u'strange', u'man', u'.', 'STOP_SYMBOL']"
38.0,5.0,"""well, he came from this direction","['START_SYMBOL', u'``', u'well', u',', u'he', u'came', u'from', u'this', u'direction', 'STOP_SYMBOL']"
39.0,5.0,and I came from that and we,"['START_SYMBOL', u'and', u'i', u'came', u'from', u'that', u'and', u'we', 'STOP_SYMBOL']"
40.0,5.0,kind of walked together. I,"['START_SYMBOL', u'kind', u'of', u'walked', u'together', u'.', u'i', 'STOP_SYMBOL']"
41.0,5.0,didn't want to hurt his,"['START_SYMBOL', u'did', u""n't"", u'want', u'to', u'hurt', u'his', 'STOP_SYMBOL']"
42.0,5.0,"feelings.""","['START_SYMBOL', u'feelings', u'.', u""''"", 'STOP_SYMBOL']"
43.0,5.0,she said that I was a very,"['START_SYMBOL', u'she', u'said', u'that', u'i', u'was', u'a', u'very', 'STOP_SYMBOL']"
44.0,5.0,jealous man.,"['START_SYMBOL', u'jealous', u'man', u'.', 'STOP_SYMBOL']"
45.0,5.0,one day she just,"['START_SYMBOL', u'one', u'day', u'she', u'just', 'STOP_SYMBOL']"
46.0,5.0,fell down,"['START_SYMBOL', u'fell', u'down', 'STOP_SYMBOL']"
47.0,5.0,inside of her sexual organs,"['START_SYMBOL', u'inside', u'of', u'her', u'sexual', u'organs', 'STOP_SYMBOL']"
48.0,5.0,and vanished.,"['START_SYMBOL', u'and', u'vanished', u'.', 'STOP_SYMBOL']"
49.0,5.0,it was like an alarm clock,"['START_SYMBOL', u'it', u'was', u'like', u'an', u'alarm', u'clock', 'STOP_SYMBOL']"
50.0,5.0,dropping into the,"['START_SYMBOL', u'dropping', u'into', u'the', 'STOP_SYMBOL']"
51.0,5.0,Grand Canyon.,"['START_SYMBOL', u'grand', u'canyon', u'.', 'STOP_SYMBOL']"
52.0,5.0,it banged and rattled and,"['START_SYMBOL', u'it', u'banged', u'and', u'rattled', u'and', 'STOP_SYMBOL']"
53.0,5.0,rang and rang,"['START_SYMBOL', u'rang', u'and', u'rang', 'STOP_SYMBOL']"
54.0,5.0,but I could no longer,"['START_SYMBOL', u'but', u'i', u'could', u'no', u'longer', 'STOP_SYMBOL']"
55.0,5.0,see or hear it.,"['START_SYMBOL', u'see', u'or', u'hear', u'it', u'.', 'STOP_SYMBOL']"
56.0,5.0,I'm feeling much better,"['START_SYMBOL', u'i', u""'m"", u'feeling', u'much', u'better', 'STOP_SYMBOL']"
57.0,5.0,now.,"['START_SYMBOL', u'now', u'.', 'STOP_SYMBOL']"
58.0,5.0,I've taken up tap-dancing,"['START_SYMBOL', u'i', u""'ve"", u'taken', u'up', u'tap-dancing', 'STOP_SYMBOL']"
59.0,5.0,and I wear a black felt,"['START_SYMBOL', u'and', u'i', u'wear', u'a', u'black', u'felt', 'STOP_SYMBOL']"
60.0,5.0,hat pulled down low,"['START_SYMBOL', u'hat', u'pulled', u'down', u'low', 'STOP_SYMBOL']"
61.0,5.0,over my right,"['START_SYMBOL', u'over', u'my', u'right', 'STOP_SYMBOL']"
62.0,5.0,eye.,"['START_SYMBOL', u'eye', u'.', 'STOP_SYMBOL']"
1.0,6.0,it beats love because there aren't any,"['START_SYMBOL', u'it', u'beats', u'love', u'because', u'there', u'are', u""n't"", u'any', 'STOP_SYMBOL']"
2.0,6.0,wounds: in the morning,"['START_SYMBOL', u'wounds', u':', u'in', u'the', u'morning', 'STOP_SYMBOL']"
3.0,6.0,"she turns on the radio, Brahms or Ives","['START_SYMBOL', u'she', u'turns', u'on', u'the', u'radio', u',', u'brahms', u'or', u'ives', 'STOP_SYMBOL']"
4.0,6.0,or Stravinsky or Mozart. she boils the,"['START_SYMBOL', u'or', u'stravinsky', u'or', u'mozart', u'.', u'she', u'boils', u'the', 'STOP_SYMBOL']"
5.0,6.0,"eggs counting the seconds out loud: 56,","['START_SYMBOL', u'eggs', u'counting', u'the', u'seconds', u'out', u'loud', u':', u'56', u',', 'STOP_SYMBOL']"
6.0,6.0,"57, 58 ... she peels the eggs, brings","['START_SYMBOL', u'57', u',', u'58', u'...', u'she', u'peels', u'the', u'eggs', u',', u'brings', 'STOP_SYMBOL']"
7.0,6.0,them to me in bed. after breakfast it's,"['START_SYMBOL', u'them', u'to', u'me', u'in', u'bed', u'.', u'after', u'breakfast', u'it', u""'s"", 'STOP_SYMBOL']"
8.0,6.0,the same chair and listen to the class-,"['START_SYMBOL', u'the', u'same', u'chair', u'and', u'listen', u'to', u'the', u'class-', 'STOP_SYMBOL']"
9.0,6.0,ical music. she's on her first glass of,"['START_SYMBOL', u'ical', u'music', u'.', u'she', u""'s"", u'on', u'her', u'first', u'glass', u'of', 'STOP_SYMBOL']"
10.0,6.0,scotch and her third cigarette. I tell,"['START_SYMBOL', u'scotch', u'and', u'her', u'third', u'cigarette', u'.', u'i', u'tell', 'STOP_SYMBOL']"
11.0,6.0,her I must go to the racetrack. she's,"['START_SYMBOL', u'her', u'i', u'must', u'go', u'to', u'the', u'racetrack', u'.', u'she', u""'s"", 'STOP_SYMBOL']"
12.0,6.0,"been here about 2 nights and 2 days. ""when","['START_SYMBOL', u'been', u'here', u'about', u'2', u'nights', u'and', u'2', u'days', u'.', u'``', u'when', 'STOP_SYMBOL']"
13.0,6.0,"will I see you again?"" I ask. she","['START_SYMBOL', u'will', u'i', u'see', u'you', u'again', u'?', u""''"", u'i', u'ask', u'.', u'she', 'STOP_SYMBOL']"
14.0,6.0,suggests that might be up to me. I,"['START_SYMBOL', u'suggests', u'that', u'might', u'be', u'up', u'to', u'me', u'.', u'i', 'STOP_SYMBOL']"
15.0,6.0,nod and Mozart plays.,"['START_SYMBOL', u'nod', u'and', u'mozart', u'plays', u'.', 'STOP_SYMBOL']"
1.0,7.0,I was coming off an affair that had gone badly.,"['START_SYMBOL', u'i', u'was', u'coming', u'off', u'an', u'affair', u'that', u'had', u'gone', u'badly', u'.', 'STOP_SYMBOL']"
2.0,7.0,"frankly, I was sliding down into a pit","['START_SYMBOL', u'frankly', u',', u'i', u'was', u'sliding', u'down', u'into', u'a', u'pit', 'STOP_SYMBOL']"
3.0,7.0,really feeling shitty and low,"['START_SYMBOL', u'really', u'feeling', u'shitty', u'and', u'low', 'STOP_SYMBOL']"
