line,poem,text,tokens
23.0,4.0,since if past performance,"[u'start_symbol', u'since', u'if', u'past', u'performance', u'stop_symbol']"
24.0,4.0,charts mean anything,"[u'start_symbol', u'charts', u'mean', u'anything', u'stop_symbol']"
25.0,4.0,I'll surely go,"[u'start_symbol', u'i', u""'ll"", u'surely', u'go', u'stop_symbol']"
26.0,4.0,first the last,"[u'start_symbol', u'first', u'the', u'last', u'stop_symbol']"
27.0,4.0,way.,"[u'start_symbol', u'way', u'.', u'stop_symbol']"
1.0,5.0,"""you know,"" she said, ""you were at","[u'start_symbol', u'``', u'you', u'know', u',', u""''"", u'she', u'said', u',', u'``', u'you', u'were', u'at', u'stop_symbol']"
2.0,5.0,the bar so you didn't see,"[u'start_symbol', u'the', u'bar', u'so', u'you', u'did', u""n't"", u'see', u'stop_symbol']"
3.0,5.0,but I danced with this guy.,"[u'start_symbol', u'but', u'i', u'danced', u'with', u'this', u'guy', u'.', u'stop_symbol']"
4.0,5.0,we danced and we danced,"[u'start_symbol', u'we', u'danced', u'and', u'we', u'danced', u'stop_symbol']"
5.0,5.0,close.,"[u'start_symbol', u'close', u'.', u'stop_symbol']"
6.0,5.0,but I didn't go home with him,"[u'start_symbol', u'but', u'i', u'did', u""n't"", u'go', u'home', u'with', u'him', u'stop_symbol']"
7.0,5.0,because he knew I was with,"[u'start_symbol', u'because', u'he', u'knew', u'i', u'was', u'with', u'stop_symbol']"
8.0,5.0,"you.""","[u'start_symbol', u'you', u'.', u""''"", u'stop_symbol']"
9.0,5.0,"""thanks a bunch,"" I","[u'start_symbol', u'``', u'thanks', u'a', u'bunch', u',', u""''"", u'i', u'stop_symbol']"
10.0,5.0,said.,"[u'start_symbol', u'said', u'.', u'stop_symbol']"
11.0,5.0,she was always thinking of sex.,"[u'start_symbol', u'she', u'was', u'always', u'thinking', u'of', u'sex', u'.', u'stop_symbol']"
12.0,5.0,she carried it around with her,"[u'start_symbol', u'she', u'carried', u'it', u'around', u'with', u'her', u'stop_symbol']"
13.0,5.0,like something in a paper,"[u'start_symbol', u'like', u'something', u'in', u'a', u'paper', u'stop_symbol']"
14.0,5.0,bag.,"[u'start_symbol', u'bag', u'.', u'stop_symbol']"
15.0,5.0,such energy.,"[u'start_symbol', u'such', u'energy', u'.', u'stop_symbol']"
16.0,5.0,she never forgot.,"[u'start_symbol', u'she', u'never', u'forgot', u'.', u'stop_symbol']"
17.0,5.0,she stared at every man available,"[u'start_symbol', u'she', u'stared', u'at', u'every', u'man', u'available', u'stop_symbol']"
18.0,5.0,in morning cafes,"[u'start_symbol', u'in', u'morning', u'cafes', u'stop_symbol']"
19.0,5.0,over bacon and eggs,"[u'start_symbol', u'over', u'bacon', u'and', u'eggs', u'stop_symbol']"
20.0,5.0,or later,"[u'start_symbol', u'or', u'later', u'stop_symbol']"
21.0,5.0,over a noon sandwich or,"[u'start_symbol', u'over', u'a', u'noon', u'sandwich', u'or', u'stop_symbol']"
22.0,5.0,a steak dinner.,"[u'start_symbol', u'a', u'steak', u'dinner', u'.', u'stop_symbol']"
23.0,5.0,"""I've modeled myself after","[u'start_symbol', u'``', u'i', u""'ve"", u'modeled', u'myself', u'after', u'stop_symbol']"
24.0,5.0,"Marilyn Monroe,"" she told","[u'start_symbol', u'marilyn', u'monroe', u',', u""''"", u'she', u'told', u'stop_symbol']"
25.0,5.0,me.,"[u'start_symbol', u'me', u'.', u'stop_symbol']"
26.0,5.0,"""she's always running off","[u'start_symbol', u'``', u'she', u""'s"", u'always', u'running', u'off', u'stop_symbol']"
27.0,5.0,to some local disco to dance,"[u'start_symbol', u'to', u'some', u'local', u'disco', u'to', u'dance', u'stop_symbol']"
28.0,5.0,"with a baboon,"" a friend once told","[u'start_symbol', u'with', u'a', u'baboon', u',', u""''"", u'a', u'friend', u'once', u'told', u'stop_symbol']"
29.0,5.0,"me, ""I'm amazed that you've","[u'start_symbol', u'me', u',', u'``', u'i', u""'m"", u'amazed', u'that', u'you', u""'ve"", u'stop_symbol']"
30.0,5.0,"stood for it as long as you have.""","[u'start_symbol', u'stood', u'for', u'it', u'as', u'long', u'as', u'you', u'have', u'.', u""''"", u'stop_symbol']"
31.0,5.0,she'd vanish at racetracks,"[u'start_symbol', u'she', u""'d"", u'vanish', u'at', u'racetracks', u'stop_symbol']"
32.0,5.0,"then come back and say,","[u'start_symbol', u'then', u'come', u'back', u'and', u'say', u',', u'stop_symbol']"
33.0,5.0,"""three men offered to buy me","[u'start_symbol', u'``', u'three', u'men', u'offered', u'to', u'buy', u'me', u'stop_symbol']"
34.0,5.0,"a drink.""","[u'start_symbol', u'a', u'drink', u'.', u""''"", u'stop_symbol']"
35.0,5.0,or I'd lose her in the parking,"[u'start_symbol', u'or', u'i', u""'d"", u'lose', u'her', u'in', u'the', u'parking', u'stop_symbol']"
36.0,5.0,lot and I'd look up and she'd,"[u'start_symbol', u'lot', u'and', u'i', u""'d"", u'look', u'up', u'and', u'she', u""'d"", u'stop_symbol']"
37.0,5.0,be walking along with a strange man.,"[u'start_symbol', u'be', u'walking', u'along', u'with', u'a', u'strange', u'man', u'.', u'stop_symbol']"
38.0,5.0,"""well, he came from this direction","[u'start_symbol', u'``', u'well', u',', u'he', u'came', u'from', u'this', u'direction', u'stop_symbol']"
39.0,5.0,and I came from that and we,"[u'start_symbol', u'and', u'i', u'came', u'from', u'that', u'and', u'we', u'stop_symbol']"
40.0,5.0,kind of walked together. I,"[u'start_symbol', u'kind', u'of', u'walked', u'together', u'.', u'i', u'stop_symbol']"
41.0,5.0,didn't want to hurt his,"[u'start_symbol', u'did', u""n't"", u'want', u'to', u'hurt', u'his', u'stop_symbol']"
42.0,5.0,"feelings.""","[u'start_symbol', u'feelings', u'.', u""''"", u'stop_symbol']"
43.0,5.0,she said that I was a very,"[u'start_symbol', u'she', u'said', u'that', u'i', u'was', u'a', u'very', u'stop_symbol']"
44.0,5.0,jealous man.,"[u'start_symbol', u'jealous', u'man', u'.', u'stop_symbol']"
45.0,5.0,one day she just,"[u'start_symbol', u'one', u'day', u'she', u'just', u'stop_symbol']"
46.0,5.0,fell down,"[u'start_symbol', u'fell', u'down', u'stop_symbol']"
47.0,5.0,inside of her sexual organs,"[u'start_symbol', u'inside', u'of', u'her', u'sexual', u'organs', u'stop_symbol']"
48.0,5.0,and vanished.,"[u'start_symbol', u'and', u'vanished', u'.', u'stop_symbol']"
49.0,5.0,it was like an alarm clock,"[u'start_symbol', u'it', u'was', u'like', u'an', u'alarm', u'clock', u'stop_symbol']"
50.0,5.0,dropping into the,"[u'start_symbol', u'dropping', u'into', u'the', u'stop_symbol']"
51.0,5.0,Grand Canyon.,"[u'start_symbol', u'grand', u'canyon', u'.', u'stop_symbol']"
52.0,5.0,it banged and rattled and,"[u'start_symbol', u'it', u'banged', u'and', u'rattled', u'and', u'stop_symbol']"
53.0,5.0,rang and rang,"[u'start_symbol', u'rang', u'and', u'rang', u'stop_symbol']"
54.0,5.0,but I could no longer,"[u'start_symbol', u'but', u'i', u'could', u'no', u'longer', u'stop_symbol']"
55.0,5.0,see or hear it.,"[u'start_symbol', u'see', u'or', u'hear', u'it', u'.', u'stop_symbol']"
56.0,5.0,I'm feeling much better,"[u'start_symbol', u'i', u""'m"", u'feeling', u'much', u'better', u'stop_symbol']"
57.0,5.0,now.,"[u'start_symbol', u'now', u'.', u'stop_symbol']"
58.0,5.0,I've taken up tap-dancing,"[u'start_symbol', u'i', u""'ve"", u'taken', u'up', u'tap-dancing', u'stop_symbol']"
59.0,5.0,and I wear a black felt,"[u'start_symbol', u'and', u'i', u'wear', u'a', u'black', u'felt', u'stop_symbol']"
60.0,5.0,hat pulled down low,"[u'start_symbol', u'hat', u'pulled', u'down', u'low', u'stop_symbol']"
61.0,5.0,over my right,"[u'start_symbol', u'over', u'my', u'right', u'stop_symbol']"
62.0,5.0,eye.,"[u'start_symbol', u'eye', u'.', u'stop_symbol']"
1.0,6.0,it beats love because there aren't any,"[u'start_symbol', u'it', u'beats', u'love', u'because', u'there', u'are', u""n't"", u'any', u'stop_symbol']"
2.0,6.0,wounds: in the morning,"[u'start_symbol', u'wounds', u':', u'in', u'the', u'morning', u'stop_symbol']"
3.0,6.0,"she turns on the radio, Brahms or Ives","[u'start_symbol', u'she', u'turns', u'on', u'the', u'radio', u',', u'brahms', u'or', u'ives', u'stop_symbol']"
4.0,6.0,or Stravinsky or Mozart. she boils the,"[u'start_symbol', u'or', u'stravinsky', u'or', u'mozart', u'.', u'she', u'boils', u'the', u'stop_symbol']"
5.0,6.0,"eggs counting the seconds out loud: 56,","[u'start_symbol', u'eggs', u'counting', u'the', u'seconds', u'out', u'loud', u':', u'56', u',', u'stop_symbol']"
6.0,6.0,"57, 58 ... she peels the eggs, brings","[u'start_symbol', u'57', u',', u'58', u'...', u'she', u'peels', u'the', u'eggs', u',', u'brings', u'stop_symbol']"
7.0,6.0,them to me in bed. after breakfast it's,"[u'start_symbol', u'them', u'to', u'me', u'in', u'bed', u'.', u'after', u'breakfast', u'it', u""'s"", u'stop_symbol']"
8.0,6.0,the same chair and listen to the class-,"[u'start_symbol', u'the', u'same', u'chair', u'and', u'listen', u'to', u'the', u'class-', u'stop_symbol']"
9.0,6.0,ical music. she's on her first glass of,"[u'start_symbol', u'ical', u'music', u'.', u'she', u""'s"", u'on', u'her', u'first', u'glass', u'of', u'stop_symbol']"
10.0,6.0,scotch and her third cigarette. I tell,"[u'start_symbol', u'scotch', u'and', u'her', u'third', u'cigarette', u'.', u'i', u'tell', u'stop_symbol']"
11.0,6.0,her I must go to the racetrack. she's,"[u'start_symbol', u'her', u'i', u'must', u'go', u'to', u'the', u'racetrack', u'.', u'she', u""'s"", u'stop_symbol']"
12.0,6.0,"been here about 2 nights and 2 days. ""when","[u'start_symbol', u'been', u'here', u'about', u'2', u'nights', u'and', u'2', u'days', u'.', u'``', u'when', u'stop_symbol']"
13.0,6.0,"will I see you again?"" I ask. she","[u'start_symbol', u'will', u'i', u'see', u'you', u'again', u'?', u""''"", u'i', u'ask', u'.', u'she', u'stop_symbol']"
14.0,6.0,suggests that might be up to me. I,"[u'start_symbol', u'suggests', u'that', u'might', u'be', u'up', u'to', u'me', u'.', u'i', u'stop_symbol']"
15.0,6.0,nod and Mozart plays.,"[u'start_symbol', u'nod', u'and', u'mozart', u'plays', u'.', u'stop_symbol']"
1.0,7.0,I was coming off an affair that had gone badly.,"[u'start_symbol', u'i', u'was', u'coming', u'off', u'an', u'affair', u'that', u'had', u'gone', u'badly', u'.', u'stop_symbol']"
2.0,7.0,"frankly, I was sliding down into a pit","[u'start_symbol', u'frankly', u',', u'i', u'was', u'sliding', u'down', u'into', u'a', u'pit', u'stop_symbol']"
3.0,7.0,really feeling shitty and low,"[u'start_symbol', u'really', u'feeling', u'shitty', u'and', u'low', u'stop_symbol']"
4.0,7.0,when I lucked into this lady with a large bed,"[u'start_symbol', u'when', u'i', u'lucked', u'into', u'this', u'lady', u'with', u'a', u'large', u'bed', u'stop_symbol']"
5.0,7.0,covered with a jeweled canopy,"[u'start_symbol', u'covered', u'with', u'a', u'jeweled', u'canopy', u'stop_symbol']"
6.0,7.0,plus,"[u'start_symbol', u'plus', u'stop_symbol']"
7.0,7.0,"wine, champagne, smokes, pills and","[u'start_symbol', u'wine', u',', u'champagne', u',', u'smokes', u',', u'pills', u'and', u'stop_symbol']"
8.0,7.0,color tv.,"[u'start_symbol', u'color', u'tv', u'.', u'stop_symbol']"
9.0,7.0,we stayed in bed and,"[u'start_symbol', u'we', u'stayed', u'in', u'bed', u'and', u'stop_symbol']"
10.0,7.0,"drank wine, champagne, smoked, popped pills","[u'start_symbol', u'drank', u'wine', u',', u'champagne', u',', u'smoked', u',', u'popped', u'pills', u'stop_symbol']"
11.0,7.0,by the dozens,"[u'start_symbol', u'by', u'the', u'dozens', u'stop_symbol']"
12.0,7.0,as I (feeling shitty and low),"[u'start_symbol', u'as', u'i', u'(', u'feeling', u'shitty', u'and', u'low', u')', u'stop_symbol']"
13.0,7.0,tried to get over this affair that had gone,"[u'start_symbol', u'tried', u'to', u'get', u'over', u'this', u'affair', u'that', u'had', u'gone', u'stop_symbol']"
14.0,7.0,bad.,"[u'start_symbol', u'bad', u'.', u'stop_symbol']"
15.0,7.0,"I watched the tv trying to dull my senses,","[u'start_symbol', u'i', u'watched', u'the', u'tv', u'trying', u'to', u'dull', u'my', u'senses', u',', u'stop_symbol']"
16.0,7.0,but the thing that really helped,"[u'start_symbol', u'but', u'the', u'thing', u'that', u'really', u'helped', u'stop_symbol']"
17.0,7.0,was this very long,"[u'start_symbol', u'was', u'this', u'very', u'long', u'stop_symbol']"
18.0,7.0,(specially written for tv) drama about,"[u'start_symbol', u'(', u'specially', u'written', u'for', u'tv', u')', u'drama', u'about', u'stop_symbol']"
19.0,7.0,spies---,"[u'start_symbol', u'spies', u'--', u'-', u'stop_symbol']"
20.0,7.0,"American spies and Russian spies, and","[u'start_symbol', u'american', u'spies', u'and', u'russian', u'spies', u',', u'and', u'stop_symbol']"
21.0,7.0,they were all so clever and,"[u'start_symbol', u'they', u'were', u'all', u'so', u'clever', u'and', u'stop_symbol']"
